"mz","time","MatchCategory","theoretical.mz","chemical_ID","Name","Formula","MonoisotopicMass","Adduct","ISgroup","Module_RTclust","time.y","mean_int_vec","MD"
520.90916,939.7,"Multiple",520.90868,"Formula_8681","cis-2-Chloro-4-carboxymethylenebut-2-en-14-olide","C6H3ClO4",173.971986291,"3M-H","ISgroup_1_120_91","1_120",939.7,1021671.2,0.909
162.98307,955.5,"Multiple",162.98352,"Formula_8721","Methyl thiophene-2-carboxylate","C6H6O2S",142.008850126,"M-2H+Na","ISgroup_1_120_99","1_120",955.5,93176.7,0.983
162.98307,955.5,"Multiple",162.98352,"Formula_8721","Methyl thiophene-2-carboxylate","C6H6O2S",142.008850126,"M+Na-2H","ISgroup_1_120_99","1_120",955.5,93176.7,0.983
204.98032,955.5,"Multiple",204.98123,"Formula_8728","5-Sulfoxymethylfurfural","C6H6O6S",205.988508614,"3M-3H","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
204.98032,955.5,"Multiple",204.98123,"Formula_8728","5-Sulfoxymethylfurfural","C6H6O6S",205.988508614,"M-H","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
204.98032,955.5,"Multiple",204.98123,"Formula_8728","5-Sulfoxymethylfurfural","C6H6O6S",205.988508614,"2M-2H","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
520.90916,939.7,"Multiple",520.90496,"Formula_9358","Trichloroethanol glucuronide","C8H11Cl3O7",323.957035827,"3M+2Cl","ISgroup_1_120_91","1_120",939.7,1021671.2,0.909
162.98307,955.5,"Multiple",162.98167,"Formula_9522","5-Sulfo-13-benzenedicarboxylic acid","C8H6O7S",245.983423236,"2M-3H","ISgroup_1_120_99","1_120",955.5,93176.7,0.983
520.90916,939.7,"Multiple",520.91216,"Formula_9573","Perfluorooctanesulfonic acid","C8HF17O3S",499.937494073,"M-2H+Na","ISgroup_1_120_91","1_120",939.7,1021671.2,0.909
520.90916,939.7,"Multiple",520.91216,"Formula_9573","Perfluorooctanesulfonic acid","C8HF17O3S",499.937494073,"M+Na-2H","ISgroup_1_120_91","1_120",939.7,1021671.2,0.909
190.92848,970,"Unique",190.92686,"Formula_8692","Chlorobenzene","C6H5Cl",112.007977867,"M+Br","ISgroup_1_121_93","1_121",970,1850455,0.928
742.20208,369.2,"Multiple",742.19705,"Formula_1919","Cefadroxil","C16H17N3O5S",363.088891359,"2M-2H+NH4","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
742.20208,369.2,"Multiple",742.19485,"Formula_5168","Amaranthin","C30H34N2O19",726.175576916,"M-2H+NH4","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
742.20208,369.2,"Multiple",742.19619,"Formula_5388","Cyanidin 3-sambubioside 5-glucoside","C32H39O20",743.203468688,"3M-3H","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
742.20208,369.2,"Multiple",742.19619,"Formula_5388","Cyanidin 3-sambubioside 5-glucoside","C32H39O20",743.203468688,"M-H","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
742.20208,369.2,"Multiple",742.19619,"Formula_5388","Cyanidin 3-sambubioside 5-glucoside","C32H39O20",743.203468688,"2M-2H","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
742.20208,369.2,"Multiple",742.20198,"Formula_763","3-Oxo-carbofuran","C12H13NO4",235.084457909,"3M-2H+K","ISgroup_1_14_21","1_14",369.2,2608.2,0.202
312.16238,497.3,"Multiple",312.15942,"Formula_2071","Esmolol","C16H25NO4",295.178358293,"2M-H+Cl","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
312.16238,497.3,"Multiple",312.16052,"Formula_2757","5-(4-Hydroxypheny)ethenyl-2-(3-methyl-1-butenyl)-13-benzenediol","C19H20O3",296.141244506,"M-2H+NH4","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
312.16238,497.3,"Multiple",312.16052,"Formula_2808","Reboxetine","C19H23NO3",313.167793607,"2M-2H","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
312.16238,497.3,"Multiple",312.16052,"Formula_2808","Reboxetine","C19H23NO3",313.167793607,"3M-3H","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
312.16238,497.3,"Multiple",312.16052,"Formula_2808","Reboxetine","C19H23NO3",313.167793607,"M-H","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
312.16238,497.3,"Multiple",312.15997,"Formula_2839","Pandamarilactone 31","C19H25NO4",331.178358293,"M-H2O-H","ISgroup_1_37_17","1_37",497.3,21828.6,0.162
189.12824,332.2,"Multiple",189.12849,"Formula_1122","beta-Damascenone","C13H18O",190.135765198,"M-H","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
189.12824,332.2,"Multiple",189.12849,"Formula_1122","beta-Damascenone","C13H18O",190.135765198,"3M-3H","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
189.12824,332.2,"Multiple",189.12849,"Formula_1122","beta-Damascenone","C13H18O",190.135765198,"2M-2H","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
189.12824,332.2,"Multiple",189.12794,"Formula_1142","Eremopetasinorol","C13H20O2",208.146329884,"M-H2O-H","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
189.12824,332.2,"Multiple",189.12739,"Formula_3258","1020-Dihydroxyeicosanoic acid","C20H40O4",344.292659768,"M-H+Cl","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
189.12824,332.2,"Multiple",189.12739,"Formula_336","Capric acid","C10H20O2",172.146329884,"2M-H+Cl","ISgroup_1_8_13","1_8",332.2,10115.3,0.128
197.96327,23.6,"Multiple",197.96246,"Formula_1208","Niclosamide","C13H8Cl2N2O4",325.986112168,"M+2Cl","ISgroup_2_1_97","2_1",23.6,43348.7,0.963
252.99681,38.2,"Multiple",252.99867,"Formula_1249","5-Carboxy meloxicam","C14H11N3O6S2",381.008926479,"2M-3H","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
238.9969,26.1,"Multiple",238.99678,"Formula_1763","Phosphoribosyl-ATP","C15H26N5O20P4",720.012159345,"M-3H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
154.97383,21.8,"Multiple",154.97374,"Formula_5069","Chloromethyl methyl ether","C2H5ClO",80.002892489,"3M+2Cl","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
174.95596,21.2,"Multiple",174.95686,"Formula_5073","Acetylphosphate","C2H5O5P",139.987459782,"M+Cl","ISgroup_2_1_96","2_1",21.2,1160561.9,0.956
174.95596,21.2,"Multiple",174.95686,"Formula_5073","Acetylphosphate","C2H5O5P",139.987459782,"2M+2Cl","ISgroup_2_1_96","2_1",21.2,1160561.9,0.956
154.97383,21.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"2M-2H","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
154.97383,21.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"M-H","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
154.97383,21.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"3M-3H","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
446.90516,21.8,"Unique",446.90217,"Formula_5082","Mesna","C2H6O3S2",141.975835438,"3M-2H+Na","ISgroup_2_1_91","2_1",21.8,33494.7,0.905
252.99681,38.2,"Multiple",252.9982,"Formula_51","Demethylated antipyrine","C10H10N2O",174.079312952,"M+Br","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
310.93052,21.8,"Multiple",310.93103,"Formula_62","Bis(2-methyl-3-furanyl)tetrasulfide","C10H10O2S4",289.956362324,"M+Na-2H","ISgroup_2_1_94","2_1",21.8,39593.5,0.931
310.93052,21.8,"Multiple",310.93103,"Formula_62","Bis(2-methyl-3-furanyl)tetrasulfide","C10H10O2S4",289.956362324,"M-2H+Na","ISgroup_2_1_94","2_1",21.8,39593.5,0.931
326.9032,21.2,"Multiple",326.90497,"Formula_62","Bis(2-methyl-3-furanyl)tetrasulfide","C10H10O2S4",289.956362324,"M-2H+K","ISgroup_2_1_91","2_1",21.2,24319.6,0.903
326.9032,21.2,"Multiple",326.90497,"Formula_62","Bis(2-methyl-3-furanyl)tetrasulfide","C10H10O2S4",289.956362324,"M+K-2H","ISgroup_2_1_91","2_1",21.2,24319.6,0.903
154.97383,21.8,"Multiple",154.97528,"Formula_6248","Hydroxypropanedioic acid","C3H4O5",120.005873238,"M+Cl","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
154.97383,21.8,"Multiple",154.97528,"Formula_6248","Hydroxypropanedioic acid","C3H4O5",120.005873238,"2M+2Cl","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
130.96613,20.6,"Multiple",130.96715,"Formula_6280","2-Chloro-1-propanol","C3H7ClO",94.018542553,"M-2H+K","ISgroup_2_1_97","2_1",20.6,53758.4,0.966
130.96613,20.6,"Multiple",130.96715,"Formula_6280","2-Chloro-1-propanol","C3H7ClO",94.018542553,"M+K-2H","ISgroup_2_1_97","2_1",20.6,53758.4,0.966
174.95596,21.2,"Multiple",174.9568,"Formula_6293","Fosfomycin","C3H7O4P",138.008195224,"M-2H+K","ISgroup_2_1_96","2_1",21.2,1160561.9,0.956
174.95596,21.2,"Multiple",174.9568,"Formula_6293","Fosfomycin","C3H7O4P",138.008195224,"M+K-2H","ISgroup_2_1_96","2_1",21.2,1160561.9,0.956
280.94773,37.9,"Unique",280.94549,"Formula_685","Bergaptol","C11H6O4",202.02660868,"M+Br","ISgroup_2_1_95","2_1",37.9,13479.8,0.948
238.9969,26.1,"Multiple",238.99706,"Formula_719","Diphenyl disulfide","C12H10S2",218.0223917,"M-2H+Na","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
238.9969,26.1,"Multiple",238.99706,"Formula_719","Diphenyl disulfide","C12H10S2",218.0223917,"M+Na-2H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
252.99681,38.2,"Multiple",252.99658,"Formula_7375","Fumaric acid","C4H4O4",116.010958616,"2M-2H+Na","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
197.96327,23.6,"Multiple",197.96333,"Formula_7388","Acesulfame","C4H5NO4S",162.993928343,"M+Cl","ISgroup_2_1_97","2_1",23.6,43348.7,0.963
197.96327,23.6,"Multiple",197.96333,"Formula_7388","Acesulfame","C4H5NO4S",162.993928343,"2M+2Cl","ISgroup_2_1_97","2_1",23.6,43348.7,0.963
154.97383,21.8,"Multiple",154.97521,"Formula_7408","Methylmalonic acid","C4H6O4",118.02660868,"M+K-2H","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
154.97383,21.8,"Multiple",154.97521,"Formula_7408","Methylmalonic acid","C4H6O4",118.02660868,"M-2H+K","ISgroup_2_1_98","2_1",21.8,19776.5,0.974
238.9969,26.1,"Multiple",238.99727,"Formula_7414","Dihydro-3(2H)-thiophenone","C4H6OS",102.013935504,"2M+Cl","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
174.95596,21.2,"Multiple",174.95545,"Formula_8047","23579-Pentathiadecane 22-dioxide","C5H12O2S5",263.944083078,"2M-3H","ISgroup_2_1_96","2_1",21.2,1160561.9,0.956
238.9969,26.1,"Multiple",238.99568,"Formula_8583","6-Phosphonoglucono-D-lactone","C6H11O9P",258.014068462,"M-H2O-H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
129.97567,24.2,"Unique",129.97508,"Formula_8729","Oxalosuccinic acid","C6H6O7",190.011352546,"M+2Cl","ISgroup_2_1_98","2_1",24.2,27929.5,0.976
238.9969,26.1,"Multiple",238.99521,"Formula_8766","(2-Furanylmethyl) methyl disulfide","C6H8OS2",160.001656258,"3M-2H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
238.9969,26.1,"Multiple",238.9964,"Formula_9157","Daucic acid","C7H8O7",204.02700261,"2M+2Cl","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
238.9969,26.1,"Multiple",238.9964,"Formula_9157","Daucic acid","C7H8O7",204.02700261,"M+Cl","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
252.99681,38.2,"Multiple",252.9943,"Formula_9350","Tyrosol 4-sulfate","C8H10O5S",218.02489412,"M+Cl","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
252.99681,38.2,"Multiple",252.9943,"Formula_9350","Tyrosol 4-sulfate","C8H10O5S",218.02489412,"2M+2Cl","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
238.9969,26.1,"Multiple",238.99634,"Formula_9351","Ethyl aconitate","C8H10O6",202.047738052,"M-2H+K","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
238.9969,26.1,"Multiple",238.99634,"Formula_9351","Ethyl aconitate","C8H10O6",202.047738052,"M+K-2H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
252.99681,38.2,"Multiple",252.9951,"Formula_9440","N-Acetylgalactosamine 46-disulfate","C8H15NO12S2",381.003566329,"2M-3H","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
252.99681,38.2,"Multiple",252.99658,"Formula_9559","Acetyl citrate","C8H8O8",232.021917232,"M-2H+Na","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
252.99681,38.2,"Multiple",252.99658,"Formula_9559","Acetyl citrate","C8H8O8",232.021917232,"M+Na-2H","ISgroup_2_1_100","2_1",38.2,44357.3,0.997
238.9969,26.1,"Multiple",238.99489,"Formula_9669","Ethoxzolamide","C9H10N2O3S2",258.013283576,"M-H2O-H","ISgroup_2_1_100","2_1",26.1,18721.8,0.997
229.01729,181.3,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"3M-3H","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
229.01729,181.3,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"2M-2H","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
229.01729,181.3,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"M-H","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
208.0152,172.8,"Multiple",208.0144,"Formula_1365","Methyl 6-O-galloyl-beta-D-glucopyranoside","C14H18O10",346.089996796,"M+2Cl","ISgroup_2_13_2","2_13",172.8,26170,0.015
229.01729,181.3,"Multiple",229.01551,"Formula_1898","Cefuroxime","C16H16N4O8S",424.068884198,"M-H+Cl","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
151.04016,185.5,"Multiple",151.04007,"Formula_1905","3-O-methyl-(-)-epicatechin","C16H16O6",304.094688244,"M-2H","ISgroup_2_13_5","2_13",185.5,23495,0.04
208.0152,172.8,"Multiple",208.01362,"Formula_2429","N1-(2-Hydroxyethyl)flurazepam","C18H16ClFN2O2",346.088433678,"M+2Cl","ISgroup_2_13_2","2_13",172.8,26170,0.015
207.01225,173.4,"Unique",207.0142,"Formula_2440","Eupatilin","C18H16O7",344.089602866,"M+2Cl","ISgroup_2_13_2","2_13",173.4,368805.8,0.012
208.0152,172.8,"Multiple",208.0155,"Formula_2959","()-12a-Hydroxypachyrrhizone","C20H14O8",382.068867424,"M-H+Cl","ISgroup_2_13_2","2_13",172.8,26170,0.015
151.04016,185.5,"Multiple",151.04056,"Formula_329","Spermic acid 2","C10H20N2O4",232.142307138,"M+2Cl","ISgroup_2_13_5","2_13",185.5,23495,0.04
208.0152,172.8,"Multiple",208.01708,"Formula_372","Quinaldic acid","C10H7NO2",173.047678473,"M+Cl","ISgroup_2_13_2","2_13",172.8,26170,0.015
208.0152,172.8,"Multiple",208.01708,"Formula_372","Quinaldic acid","C10H7NO2",173.047678473,"2M+2Cl","ISgroup_2_13_2","2_13",172.8,26170,0.015
208.0152,172.8,"Multiple",208.01708,"Formula_377","4-Chloro-1H-indole-3-acetic acid","C10H8ClNO2",209.024356212,"2M-2H","ISgroup_2_13_2","2_13",172.8,26170,0.015
208.0152,172.8,"Multiple",208.01708,"Formula_377","4-Chloro-1H-indole-3-acetic acid","C10H8ClNO2",209.024356212,"M-H","ISgroup_2_13_2","2_13",172.8,26170,0.015
208.0152,172.8,"Multiple",208.01708,"Formula_377","4-Chloro-1H-indole-3-acetic acid","C10H8ClNO2",209.024356212,"3M-3H","ISgroup_2_13_2","2_13",172.8,26170,0.015
151.04016,185.5,"Multiple",151.03964,"Formula_552","Acetylcarnosine","C11H16N4O4",268.11715502,"M-H+Cl","ISgroup_2_13_5","2_13",185.5,23495,0.04
151.04016,185.5,"Multiple",151.03897,"Formula_8007","23-Dihydroxyvaleric acid","C5H10O4",134.057908808,"2M-H+Cl","ISgroup_2_13_5","2_13",185.5,23495,0.04
151.04016,185.5,"Multiple",151.04031,"Formula_8711","Dihydropteridine","C6H6N4",134.059246212,"2M-H+Cl","ISgroup_2_13_5","2_13",185.5,23495,0.04
208.0152,172.8,"Multiple",208.01422,"Formula_895","Alginic acid","C12H20O12P2",418.042999128,"M-2H","ISgroup_2_13_2","2_13",172.8,26170,0.015
229.01729,181.3,"Multiple",229.01739,"Formula_9085","1-(Methylsulfinyl)propyl propyl disulfide","C7H16OS3",212.036327204,"2M-H+Cl","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
151.04016,185.5,"Multiple",151.03952,"Formula_9348","34-Dihydroxyphenylglycol","C8H10O4",170.057908808,"M-H2O-H","ISgroup_2_13_5","2_13",185.5,23495,0.04
229.01729,181.3,"Multiple",229.01608,"Formula_9477","()-1-Methylpropyl 3-(methylthio)-2-propenyl disulfide","C8H16S3",208.041412582,"M+Na-2H","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
229.01729,181.3,"Multiple",229.01608,"Formula_9477","()-1-Methylpropyl 3-(methylthio)-2-propenyl disulfide","C8H16S3",208.041412582,"M-2H+Na","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
151.04016,185.5,"Multiple",151.04007,"Formula_9553","p-Hydroxyphenylacetic acid","C8H8O3",152.047344122,"3M-3H","ISgroup_2_13_5","2_13",185.5,23495,0.04
151.04016,185.5,"Multiple",151.04007,"Formula_9553","p-Hydroxyphenylacetic acid","C8H8O3",152.047344122,"M-H","ISgroup_2_13_5","2_13",185.5,23495,0.04
151.04016,185.5,"Multiple",151.04007,"Formula_9553","p-Hydroxyphenylacetic acid","C8H8O3",152.047344122,"2M-2H","ISgroup_2_13_5","2_13",185.5,23495,0.04
229.01729,181.3,"Multiple",229.01707,"Formula_9725","4-Methoxyphenylethanol sulfate","C9H12O6S",248.035458806,"M-H2O-H","ISgroup_2_13_2","2_13",181.3,52627.2,0.017
229.01713,218.9,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"3M-3H","ISgroup_2_15_2","2_15",218.9,56243.2,0.017
229.01713,218.9,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"2M-2H","ISgroup_2_15_2","2_15",218.9,56243.2,0.017
229.01713,218.9,"Multiple",229.01512,"Formula_1018","5-(1-Propynyl)-5-vinyl-22-bithiophene","C13H10S2",230.0223917,"M-H","ISgroup_2_15_2","2_15",218.9,56243.2,0.017
139.02945,237.7,"Multiple",139.03063,"Formula_1746","Doripenem","C15H24N4O6S2",420.1137259,"M-3H","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
229.01713,218.9,"Multiple",229.01551,"Formula_1898","Cefuroxime","C16H16N4O8S",424.068884198,"M-H+Cl","ISgroup_2_15_2","2_15",218.9,56243.2,0.017
151.04023,226.7,"Multiple",151.04007,"Formula_1905","3-O-methyl-(-)-epicatechin","C16H16O6",304.094688244,"M-2H","ISgroup_2_15_5","2_15",226.7,30937.2,0.04
139.02945,237.7,"Multiple",139.0295,"Formula_2147","3-Hydroxy-2-(4-methylbenzoyl)-4H-1-benzopyran-4-one","C17H12O4",280.073558872,"M-2H","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
151.04023,226.7,"Multiple",151.04056,"Formula_329","Spermic acid 2","C10H20N2O4",232.142307138,"M+2Cl","ISgroup_2_15_5","2_15",226.7,30937.2,0.04
139.02945,237.7,"Multiple",139.02973,"Formula_4368","Bismurrayaquinone A","C26H16N2O4",420.11100701,"M-3H","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
223.00657,229.2,"Multiple",223.00567,"Formula_5086","Dimethylsulfide","C2H6S",62.019020882,"3M-2H+K","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
139.02945,237.7,"Multiple",139.02999,"Formula_546","Pilocarpine","C11H16N2O2",208.121177766,"M+2Cl","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
151.04023,226.7,"Multiple",151.03964,"Formula_552","Acetylcarnosine","C11H16N4O4",268.11715502,"M-H+Cl","ISgroup_2_15_5","2_15",226.7,30937.2,0.04
139.02945,237.7,"Multiple",139.02841,"Formula_563","threo-Syringoylglycerol","C11H16O6",244.094688244,"M-H+Cl","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
223.00657,229.2,"Multiple",223.00649,"Formula_6280","2-Chloro-1-propanol","C3H7ClO",94.018542553,"2M+Cl","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
151.04023,226.7,"Multiple",151.03897,"Formula_8007","23-Dihydroxyvaleric acid","C5H10O4",134.057908808,"2M-H+Cl","ISgroup_2_15_5","2_15",226.7,30937.2,0.04
223.00657,229.2,"Multiple",223.00849,"Formula_8110","5-hydroxy-2-oxo-4-ureido-25-dihydro-1H-imidazole-5-carboxylate","C5H6N4O5",202.033819322,"M+Na-2H","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
223.00657,229.2,"Multiple",223.00849,"Formula_8110","5-hydroxy-2-oxo-4-ureido-25-dihydro-1H-imidazole-5-carboxylate","C5H6N4O5",202.033819322,"M-2H+Na","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
223.00657,229.2,"Multiple",223.00876,"Formula_8586","4-Amino-1-piperidinecarboxylic acid","C6H12N2O2",144.089877638,"M+Br","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
223.00657,229.2,"Multiple",223.00868,"Formula_8692","Chlorobenzene","C6H5Cl",112.007977867,"2M-H","ISgroup_2_15_1","2_15",229.2,33978.7,0.007
139.02945,237.7,"Multiple",139.02908,"Formula_8709","Niacinamide","C6H6N2O",122.048012824,"2M-H+Cl","ISgroup_2_15_3","2_15",237.7,28540.9,0.029
151.04023,226.7,"Multiple",151.04031,"Formula_8711","Dihydropteridine","C6H6N4",134.059246212,"2M-H+Cl","ISgroup_2_15_5","2_15",226.7,30937.2,0.04
229.01713,218.9,"Multiple",229.01739,"Formula_9085","1-(Methylsulfinyl)propyl propyl disulfide","C7H16OS3",212.036327204,"2M-H+Cl","ISgroup_2_15_2","2_15",218.9,56243.2,0.017
